Region,Type of alcoholic beverages,Consumption of alcoholic beverages (thousands of decaliters),Consumption of alcoholic beverages (in liters per capita),Consumption of alcoholic beverages (in liters of pure alcohol per capita)
Belgorod Oblast,Wine,302.14,1.95,0.21
Bryansk Oblast,Wine,328.51,2.74,0.3
Vladimir Oblast,Wine,536.95,3.89,0.43
Voronezh Oblast,Wine,665.27,2.84,0.31
Ivanovo Oblast,Wine,347.96,3.6,0.4
Kaluga Oblast,Wine,430.44,4.09,0.45
Kostroma Oblast,Wine,235.58,3.89,0.43
Kursk Oblast,Wine,267.52,2.43,0.27
Lipetsk Oblast,Wine,311.46,2.68,0.29
Moscow Oblast,Wine,5027.69,6.11,0.67
Oryol Oblast,Wine,201.08,2.73,0.3
Ryazan Oblast,Wine,353.73,3.15,0.35
Smolensk Oblast,Wine,342.8,3.7,0.41
Tambov Oblast,Wine,202.43,1.99,0.22
Tver Oblast,Wine,529.18,4.18,0.46
Tula Oblast,Wine,511.51,3.35,0.37
Yaroslavl Oblast,Wine,621.57,5,0.55
Moscow,Wine,6993.17,5.45,0.6
